BackSpace 
Farsi_7 ۷
Farsi_8 ۸
Farsi_9 ۹
Arabic_percent ٪
Arabic_superscript_alef ٰ
Arabic_tteh ٹ
Arabic_peh پ
Arabic_tcheh چ
Arabic_ddal ڈ
Arabic_rreh ڑ
Arabic_comma ،
Arabic_fullstop ۔
Arabic_0 ٠
Arabic_1 ١
Arabic_2 ٢
Arabic_3 ٣
Arabic_4 ٤
Arabic_5 ٥
Arabic_6 ٦
Arabic_7 ٧
Arabic_8 ٨
Arabic_9 ٩
Arabic_semicolon ؛
Arabic_question_mark ؟
Arabic_hamza ء
Arabic_maddaonalef آ
Arabic_hamzaonalef أ
Arabic_hamzaonwaw ؤ
Arabic_hamzaunderalef إ
Arabic_hamzaonyeh ئ
Arabic_alef ا
Arabic_beh ب
Arabic_tehmarbuta ة
Arabic_teh ت
Arabic_theh ث
Arabic_jeem ج
Arabic_hah ح
Arabic_khah خ
Arabic_dal د
Arabic_thal ذ
Arabic_ra ر
Arabic_zain ز
Arabic_seen س
Arabic_sheen ش
Arabic_sad ص
Arabic_dad ض
Arabic_tah ط
Arabic_zah ظ
Arabic_ain ع
Arabic_ghain غ
Arabic_tatweel ـ
Arabic_feh ف
Arabic_qaf ق
Arabic_kaf ك
Arabic_lam ل
Arabic_meem م
Arabic_noon ن
Arabic_ha ه
Arabic_waw و
Arabic_alefmaksura ى
Arabic_yeh ي
Arabic_fathatan ً
Arabic_dammatan ٌ
Arabic_kasratan ٍ
Arabic_fatha َ
Arabic_damma ُ
Arabic_kasra ِ
Arabic_shadda ّ
Arabic_sukun ْ
Arabic_madda_above ٓ
Arabic_hamza_above ٔ
Arabic_hamza_below ٕ
Arabic_jeh ژ
Arabic_veh ڤ
Arabic_keheh ک
Arabic_gaf گ
Arabic_noon_ghunna ں
Arabic_heh_doachashmee ھ
Farsi_yeh ی
Arabic_yeh_baree ے
Arabic_heh_goal ہ
Cyrillic_GHE_bar Ғ
Cyrillic_ghe_bar ғ
Cyrillic_ZHE_descender Җ
Cyrillic_zhe_descender җ
Cyrillic_KA_descender Қ
Cyrillic_ka_descender қ
Cyrillic_KA_vertstroke Ҝ
Cyrillic_ka_vertstroke ҝ
Cyrillic_EN_descender Ң
Cyrillic_en_descender ң
Cyrillic_U_straight Ү
Cyrillic_u_straight ү
Cyrillic_U_straight_bar Ұ
Cyrillic_u_straight_bar ұ
Cyrillic_HA_descender Ҳ
Cyrillic_ha_descender ҳ
Cyrillic_CHE_descender Ҷ
Cyrillic_che_descender ҷ
Cyrillic_CHE_vertstroke Ҹ
Cyrillic_che_vertstroke ҹ
Cyrillic_SHHA Һ
Cyrillic_shha һ
Cyrillic_SCHWA Ә
Cyrillic_schwa ә
Cyrillic_I_macron Ӣ
Cyrillic_i_macron ӣ
Cyrillic_O_bar Ө
Cyrillic_o_bar ө
Cyrillic_U_macron Ӯ
Cyrillic_u_macron ӯ
Serbian_dje ђ
Macedonia_gje ѓ
Cyrillic_io ё
Ukrainian_ie є
Macedonia_dse ѕ
Ukrainian_i і
Ukrainian_yi ї
Cyrillic_je ј
Cyrillic_lje љ
Cyrillic_nje њ
Serbian_tshe ћ
Macedonia_kje ќ
Ukrainian_ghe_with_upturn ґ
Byelorussian_shortu ў
Cyrillic_dzhe џ
numerosign №
Serbian_DJE Ђ
Macedonia_GJE Ѓ
Cyrillic_IO Ё
Ukrainian_IE Є
Macedonia_DSE Ѕ
Ukrainian_I І
Ukrainian_YI Ї
Cyrillic_JE Ј
Cyrillic_LJE Љ
Cyrillic_NJE Њ
Serbian_TSHE Ћ
Macedonia_KJE Ќ
Ukrainian_GHE_WITH_UPTURN Ґ
Byelorussian_SHORTU Ў
Cyrillic_DZHE Џ
Cyrillic_yu ю
Cyrillic_a а
Cyrillic_be б
Cyrillic_tse ц
Cyrillic_de д
Cyrillic_ie е
Cyrillic_ef ф
Cyrillic_ghe г
Cyrillic_ha х
Cyrillic_i и
Cyrillic_shorti й
Cyrillic_ka к
Cyrillic_el л
Cyrillic_em м
Cyrillic_en н
Cyrillic_o о
Cyrillic_pe п
Cyrillic_ya я
Cyrillic_er р
Cyrillic_es с
Cyrillic_te т
Cyrillic_u у
Cyrillic_zhe ж
Cyrillic_ve в
Cyrillic_softsign ь
Cyrillic_yeru ы
Cyrillic_ze з
Cyrillic_sha ш
Cyrillic_e э
Cyrillic_shcha щ
Cyrillic_che ч
Cyrillic_hardsign ъ
Cyrillic_YU Ю
Cyrillic_A А
Cyrillic_BE Б
Cyrillic_TSE Ц
Cyrillic_DE Д
Cyrillic_IE Е
Cyrillic_EF Ф
Cyrillic_GHE Г
Cyrillic_HA Х
Cyrillic_I И
Cyrillic_SHORTI Й
Cyrillic_KA К
Cyrillic_EL Л
Cyrillic_EM М
Cyrillic_EN Н
Cyrillic_O О
Cyrillic_PE П
Cyrillic_YA Я
Cyrillic_ER Р
Cyrillic_ES С
Cyrillic_TE Т
Cyrillic_U У
Cyrillic_ZHE Ж
Cyrillic_VE В
Cyrillic_SOFTSIGN Ь
Cyrillic_YERU Ы
Cyrillic_ZE З
Cyrillic_SHA Ш
Cyrillic_E Э
Cyrillic_SHCHA Щ
Cyrillic_CHE Ч
Cyrillic_HARDSIGN Ъ
Greek_ALPHAaccent Ά
Greek_EPSILONaccent Έ
Greek_ETAaccent Ή
Greek_IOTAaccent Ί
Greek_IOTAdieresis Ϊ
Greek_OMICRONaccent Ό
Greek_UPSILONaccent Ύ
Greek_UPSILONdieresis Ϋ
Greek_OMEGAaccent Ώ
Greek_accentdieresis ΅
Greek_horizbar ―
Greek_alphaaccent ά
Greek_epsilonaccent έ
Greek_etaaccent ή
Greek_iotaaccent ί
Greek_iotadieresis ϊ
Greek_iotaaccentdieresis ΐ
Greek_omicronaccent ό
Greek_upsilonaccent ύ
Greek_upsilondieresis ϋ
Greek_upsilonaccentdieresis ΰ
Greek_omegaaccent ώ
Greek_ALPHA Α
Greek_BETA Β
Greek_GAMMA Γ
Greek_DELTA Δ
Greek_EPSILON Ε
Greek_ZETA Ζ
Greek_ETA Η
Greek_THETA Θ
Greek_IOTA Ι
Greek_KAPPA Κ
Greek_LAMDA Λ
Greek_MU Μ
Greek_NU Ν
Greek_XI Ξ
Greek_OMICRON Ο
Greek_PI Π
Greek_RHO Ρ
Greek_SIGMA Σ
Greek_TAU Τ
Greek_UPSILON Υ
Greek_PHI Φ
Greek_CHI Χ
Greek_PSI Ψ
Greek_OMEGA Ω
Greek_alpha α
Greek_beta β
Greek_gamma γ
Greek_delta δ
Greek_epsilon ε
Greek_zeta ζ
Greek_eta η
Greek_theta θ
Greek_iota ι
Greek_kappa κ
Greek_lamda λ
Greek_mu μ
Greek_nu ν
Greek_xi ξ
Greek_omicron ο
Greek_pi π
Greek_rho ρ
Greek_sigma σ
Greek_finalsmallsigma ς
Greek_tau τ
Greek_upsilon υ
Greek_phi φ
Greek_chi χ
Greek_psi ψ
Greek_omega ω
leftradical ⎷
topleftradical ┌
horizconnector ─
topintegral ⌠
botintegral ⌡
vertconnector │
topleftsqbracket ⎡
botleftsqbracket ⎣
toprightsqbracket ⎤
botrightsqbracket ⎦
topleftparens ⎛
botleftparens ⎝
toprightparens ⎞
botrightparens ⎠
leftmiddlecurlybrace ⎨
rightmiddlecurlybrace ⎬
lessthanequal ≤
notequal ≠
greaterthanequal ≥
integral ∫
therefore ∴
variation ∝
infinity ∞
nabla ∇
approximate ∼
similarequal ≃
ifonlyif ⇔
implies ⇒
identical ≡
radical √
includedin ⊂
includes ⊃
intersection ∩
union ∪
logicaland ∧
logicalor ∨
partialderivative ∂
function ƒ
leftarrow ←
uparrow ↑
rightarrow →
downarrow ↓
soliddiamond ◆
checkerboard ▒
ht ␉
ff ␌
cr ␍
lf ␊
nl ␤
vt ␋
lowrightcorner ┘
uprightcorner ┐
upleftcorner ┌
lowleftcorner └
crossinglines ┼
horizlinescan1 ⎺
horizlinescan3 ⎻
horizlinescan5 ─
horizlinescan7 ⎼
horizlinescan9 ⎽
leftt ├
rightt ┤
bott ┴
topt ┬
vertbar │
emspace  
enspace  
em3space  
em4space  
digitspace  
punctspace  
thinspace  
hairspace  
emdash —
endash –
signifblank ␣
ellipsis …
doubbaselinedot ‥
onethird ⅓
twothirds ⅔
onefifth ⅕
twofifths ⅖
threefifths ⅗
fourfifths ⅘
onesixth ⅙
fivesixths ⅚
careof ℅
figdash ‒
leftanglebracket 〈
decimalpoint .
rightanglebracket 〉
oneeighth ⅛
threeeighths ⅜
fiveeighths ⅝
seveneighths ⅞
trademark ™
signaturemark ☓
leftopentriangle ◁
rightopentriangle ▷
emopencircle ○
emopenrectangle ▯
leftsinglequotemark ‘
rightsinglequotemark ’
leftdoublequotemark “
rightdoublequotemark ”
prescription ℞
permille ‰
minutes ′
seconds ″
latincross ✝
filledrectbullet ▬
filledlefttribullet ◀
filledrighttribullet ▶
emfilledcircle ●
emfilledrect ▮
enopencircbullet ◦
enopensquarebullet ▫
openrectbullet ▭
opentribulletup △
opentribulletdown ▽
openstar ☆
enfilledcircbullet •
enfilledsqbullet ▪
filledtribulletup ▲
filledtribulletdown ▼
leftpointer ☜
rightpointer ☞
club ♣
diamond ♦
heart ♥
maltesecross ✠
dagger †
doubledagger ‡
checkmark ✓
ballotcross ✗
musicalsharp ♯
musicalflat ♭
malesymbol ♂
femalesymbol ♀
telephone ☎
telephonerecorder ⌕
phonographcopyright ℗
caret ‸
singlelowquotemark ‚
doublelowquotemark „
leftcaret <
rightcaret >
downcaret ∨
upcaret ∧
overbar ¯
downtack ⊤
upshoe ∩
downstile ⌊
underbar _
jot ∘
quad ⎕
uptack ⊥
circle ○
upstile ⌈
downshoe ∪
rightshoe ⊃
leftshoe ⊂
lefttack ⊣
righttack ⊢
hebrew_doublelowline ‗
hebrew_aleph א
hebrew_bet ב
hebrew_gimel ג
hebrew_dalet ד
hebrew_he ה
hebrew_waw ו
hebrew_zain ז
hebrew_chet ח
hebrew_tet ט
hebrew_yod י
hebrew_finalkaph ך
hebrew_kaph כ
hebrew_lamed ל
hebrew_finalmem ם
hebrew_mem מ
hebrew_finalnun ן
hebrew_nun נ
hebrew_samech ס
hebrew_ayin ע
hebrew_finalpe ף
hebrew_pe פ
hebrew_finalzade ץ
hebrew_zade צ
hebrew_qoph ק
hebrew_resh ר
hebrew_shin ש
hebrew_taw ת
Thai_kokai ก
Thai_khokhai ข
Thai_khokhuat ฃ
Thai_khokhwai ค
Thai_khokhon ฅ
Thai_khorakhang ฆ
Thai_ngongu ง
Thai_chochan จ
Thai_choching ฉ
Thai_chochang ช
Thai_soso ซ
Thai_chochoe ฌ
Thai_yoying ญ
Thai_dochada ฎ
Thai_topatak ฏ
Thai_thothan ฐ
Thai_thonangmontho ฑ
Thai_thophuthao ฒ
Thai_nonen ณ
Thai_dodek ด
Thai_totao ต
Thai_thothung ถ
Thai_thothahan ท
Thai_thothong ธ
Thai_nonu น
Thai_bobaimai บ
Thai_popla ป
Thai_phophung ผ
Thai_fofa ฝ
Thai_phophan พ
Thai_fofan ฟ
Thai_phosamphao ภ
Thai_moma ม
Thai_yoyak ย
Thai_rorua ร
Thai_ru ฤ
Thai_loling ล
Thai_lu ฦ
Thai_wowaen ว
Thai_sosala ศ
Thai_sorusi ษ
Thai_sosua ส
Thai_hohip ห
Thai_lochula ฬ
Thai_oang อ
Thai_honokhuk ฮ
Thai_paiyannoi ฯ
Thai_saraa ะ
Thai_maihanakat ั
Thai_saraaa า
Thai_saraam ำ
Thai_sarai ิ
Thai_saraii ี
Thai_saraue ึ
Thai_sarauee ื
Thai_sarau ุ
Thai_sarauu ู
Thai_phinthu ฺ
Thai_maihanakat_maitho ฾
Thai_baht ฿
Thai_sarae เ
Thai_saraae แ
Thai_sarao โ
Thai_saraaimaimuan ใ
Thai_saraaimaimalai ไ
Thai_lakkhangyao ๅ
Thai_maiyamok ๆ
Thai_maitaikhu ็
Thai_maiek ่
Thai_maitho ้
Thai_maitri ๊
Thai_maichattawa ๋
Thai_thanthakhat ์
Thai_nikhahit ํ
Thai_leksun ๐
Thai_leknung ๑
Thai_leksong ๒
Thai_leksam ๓
Thai_leksi ๔
Thai_lekha ๕
Thai_lekhok ๖
Thai_lekchet ๗
Thai_lekpaet ๘
Thai_lekkao ๙
Hangul_Kiyeog ㄱ
Hangul_SsangKiyeog ㄲ
