BackSpace 
cuberoot ∛
fourthroot ∜
dintegral ∬
tintegral ∭
because ∵
approxeq ≈
notapproxeq ≇
notidentical ≢
stricteq ≣
braille_blank ⠀
braille_dots_1 ⠁
braille_dots_2 ⠂
braille_dots_12 ⠃
braille_dots_3 ⠄
braille_dots_13 ⠅
braille_dots_23 ⠆
braille_dots_123 ⠇
braille_dots_4 ⠈
braille_dots_14 ⠉
braille_dots_24 ⠊
braille_dots_124 ⠋
braille_dots_34 ⠌
braille_dots_134 ⠍
braille_dots_234 ⠎
braille_dots_1234 ⠏
braille_dots_5 ⠐
braille_dots_15 ⠑
braille_dots_25 ⠒
braille_dots_125 ⠓
braille_dots_35 ⠔
braille_dots_135 ⠕
braille_dots_235 ⠖
braille_dots_1235 ⠗
braille_dots_45 ⠘
braille_dots_145 ⠙
braille_dots_245 ⠚
braille_dots_1245 ⠛
braille_dots_345 ⠜
braille_dots_1345 ⠝
braille_dots_2345 ⠞
braille_dots_12345 ⠟
braille_dots_6 ⠠
braille_dots_16 ⠡
braille_dots_26 ⠢
braille_dots_126 ⠣
braille_dots_36 ⠤
braille_dots_136 ⠥
braille_dots_236 ⠦
braille_dots_1236 ⠧
braille_dots_46 ⠨
braille_dots_146 ⠩
braille_dots_246 ⠪
braille_dots_1246 ⠫
braille_dots_346 ⠬
braille_dots_1346 ⠭
braille_dots_2346 ⠮
braille_dots_12346 ⠯
braille_dots_56 ⠰
braille_dots_156 ⠱
braille_dots_256 ⠲
braille_dots_1256 ⠳
braille_dots_356 ⠴
braille_dots_1356 ⠵
braille_dots_2356 ⠶
braille_dots_12356 ⠷
braille_dots_456 ⠸
braille_dots_1456 ⠹
braille_dots_2456 ⠺
braille_dots_12456 ⠻
braille_dots_3456 ⠼
braille_dots_13456 ⠽
braille_dots_23456 ⠾
braille_dots_123456 ⠿
braille_dots_7 ⡀
braille_dots_17 ⡁
braille_dots_27 ⡂
braille_dots_127 ⡃
braille_dots_37 ⡄
braille_dots_137 ⡅
braille_dots_237 ⡆
braille_dots_1237 ⡇
braille_dots_47 ⡈
braille_dots_147 ⡉
braille_dots_247 ⡊
braille_dots_1247 ⡋
braille_dots_347 ⡌
braille_dots_1347 ⡍
braille_dots_2347 ⡎
braille_dots_12347 ⡏
braille_dots_57 ⡐
braille_dots_157 ⡑
braille_dots_257 ⡒
braille_dots_1257 ⡓
braille_dots_357 ⡔
braille_dots_1357 ⡕
braille_dots_2357 ⡖
braille_dots_12357 ⡗
braille_dots_457 ⡘
braille_dots_1457 ⡙
braille_dots_2457 ⡚
braille_dots_12457 ⡛
braille_dots_3457 ⡜
braille_dots_13457 ⡝
braille_dots_23457 ⡞
braille_dots_123457 ⡟
braille_dots_67 ⡠
braille_dots_167 ⡡
braille_dots_267 ⡢
braille_dots_1267 ⡣
braille_dots_367 ⡤
braille_dots_1367 ⡥
braille_dots_2367 ⡦
braille_dots_12367 ⡧
braille_dots_467 ⡨
braille_dots_1467 ⡩
braille_dots_2467 ⡪
braille_dots_12467 ⡫
braille_dots_3467 ⡬
braille_dots_13467 ⡭
braille_dots_23467 ⡮
braille_dots_123467 ⡯
braille_dots_567 ⡰
braille_dots_1567 ⡱
braille_dots_2567 ⡲
braille_dots_12567 ⡳
braille_dots_3567 ⡴
braille_dots_13567 ⡵
braille_dots_23567 ⡶
braille_dots_123567 ⡷
braille_dots_4567 ⡸
braille_dots_14567 ⡹
braille_dots_24567 ⡺
braille_dots_124567 ⡻
braille_dots_34567 ⡼
braille_dots_134567 ⡽
braille_dots_234567 ⡾
braille_dots_1234567 ⡿
braille_dots_8 ⢀
braille_dots_18 ⢁
braille_dots_28 ⢂
braille_dots_128 ⢃
braille_dots_38 ⢄
braille_dots_138 ⢅
braille_dots_238 ⢆
braille_dots_1238 ⢇
braille_dots_48 ⢈
braille_dots_148 ⢉
braille_dots_248 ⢊
braille_dots_1248 ⢋
braille_dots_348 ⢌
braille_dots_1348 ⢍
braille_dots_2348 ⢎
braille_dots_12348 ⢏
braille_dots_58 ⢐
braille_dots_158 ⢑
braille_dots_258 ⢒
braille_dots_1258 ⢓
braille_dots_358 ⢔
braille_dots_1358 ⢕
braille_dots_2358 ⢖
braille_dots_12358 ⢗
braille_dots_458 ⢘
braille_dots_1458 ⢙
braille_dots_2458 ⢚
braille_dots_12458 ⢛
braille_dots_3458 ⢜
braille_dots_13458 ⢝
braille_dots_23458 ⢞
braille_dots_123458 ⢟
braille_dots_68 ⢠
braille_dots_168 ⢡
braille_dots_268 ⢢
braille_dots_1268 ⢣
braille_dots_368 ⢤
braille_dots_1368 ⢥
braille_dots_2368 ⢦
braille_dots_12368 ⢧
braille_dots_468 ⢨
braille_dots_1468 ⢩
braille_dots_2468 ⢪
braille_dots_12468 ⢫
braille_dots_3468 ⢬
braille_dots_13468 ⢭
braille_dots_23468 ⢮
braille_dots_123468 ⢯
braille_dots_568 ⢰
braille_dots_1568 ⢱
braille_dots_2568 ⢲
braille_dots_12568 ⢳
braille_dots_3568 ⢴
braille_dots_13568 ⢵
braille_dots_23568 ⢶
braille_dots_123568 ⢷
braille_dots_4568 ⢸
braille_dots_14568 ⢹
braille_dots_24568 ⢺
braille_dots_124568 ⢻
braille_dots_34568 ⢼
braille_dots_134568 ⢽
braille_dots_234568 ⢾
braille_dots_1234568 ⢿
braille_dots_78 ⣀
braille_dots_178 ⣁
braille_dots_278 ⣂
braille_dots_1278 ⣃
braille_dots_378 ⣄
braille_dots_1378 ⣅
braille_dots_2378 ⣆
braille_dots_12378 ⣇
braille_dots_478 ⣈
braille_dots_1478 ⣉
braille_dots_2478 ⣊
braille_dots_12478 ⣋
braille_dots_3478 ⣌
braille_dots_13478 ⣍
braille_dots_23478 ⣎
braille_dots_123478 ⣏
braille_dots_578 ⣐
braille_dots_1578 ⣑
braille_dots_2578 ⣒
braille_dots_12578 ⣓
braille_dots_3578 ⣔
braille_dots_13578 ⣕
braille_dots_23578 ⣖
braille_dots_123578 ⣗
braille_dots_4578 ⣘
braille_dots_14578 ⣙
braille_dots_24578 ⣚
braille_dots_124578 ⣛
braille_dots_34578 ⣜
braille_dots_134578 ⣝
braille_dots_234578 ⣞
braille_dots_1234578 ⣟
braille_dots_678 ⣠
braille_dots_1678 ⣡
braille_dots_2678 ⣢
braille_dots_12678 ⣣
braille_dots_3678 ⣤
braille_dots_13678 ⣥
braille_dots_23678 ⣦
braille_dots_123678 ⣧
braille_dots_4678 ⣨
braille_dots_14678 ⣩
braille_dots_24678 ⣪
braille_dots_124678 ⣫
braille_dots_34678 ⣬
braille_dots_134678 ⣭
braille_dots_234678 ⣮
braille_dots_1234678 ⣯
braille_dots_5678 ⣰
braille_dots_15678 ⣱
braille_dots_25678 ⣲
braille_dots_125678 ⣳
braille_dots_35678 ⣴
braille_dots_135678 ⣵
braille_dots_235678 ⣶
braille_dots_1235678 ⣷
braille_dots_45678 ⣸
braille_dots_145678 ⣹
braille_dots_245678 ⣺
braille_dots_1245678 ⣻
braille_dots_345678 ⣼
braille_dots_1345678 ⣽
braille_dots_2345678 ⣾
braille_dots_12345678 ⣿
Sinh_ng ං
Sinh_h2 ඃ
Sinh_a අ
Sinh_aa ආ
Sinh_ae ඇ
Sinh_aee ඈ
Sinh_i ඉ
Sinh_ii ඊ
Sinh_u උ
Sinh_uu ඌ
Sinh_ri ඍ
Sinh_rii ඎ
Sinh_lu ඏ
Sinh_luu ඐ
Sinh_e එ
Sinh_ee ඒ
Sinh_ai ඓ
Sinh_o ඔ
Sinh_oo ඕ
Sinh_au ඖ
Sinh_ka ක
Sinh_kha ඛ
Sinh_ga ග
Sinh_gha ඝ
Sinh_ng2 ඞ
Sinh_nga ඟ
Sinh_ca ච
Sinh_cha ඡ
Sinh_ja ජ
Sinh_jha ඣ
Sinh_nya ඤ
Sinh_jnya ඥ
Sinh_nja ඦ
Sinh_tta ට
Sinh_ttha ඨ
Sinh_dda ඩ
Sinh_ddha ඪ
Sinh_nna ණ
Sinh_ndda ඬ
Sinh_tha ත
Sinh_thha ථ
Sinh_dha ද
Sinh_dhha ධ
Sinh_na න
Sinh_ndha ඳ
Sinh_pa ප
Sinh_pha ඵ
Sinh_ba බ
Sinh_bha භ
Sinh_ma ම
Sinh_mba ඹ
Sinh_ya ය
Sinh_ra ර
Sinh_la ල
Sinh_va ව
Sinh_sha ශ
Sinh_ssha ෂ
Sinh_sa ස
Sinh_ha හ
Sinh_lla ළ
Sinh_fa ෆ
Sinh_al ්
Sinh_aa2 ා
Sinh_ae2 ැ
Sinh_aee2 ෑ
Sinh_i2 ි
Sinh_ii2 ී
Sinh_u2 ු
Sinh_uu2 ූ
Sinh_ru2 ෘ
Sinh_e2 ෙ
Sinh_ee2 ේ
Sinh_ai2 ෛ
Sinh_o2 ො
Sinh_oo2 ෝ
Sinh_au2 ෞ
Sinh_lu2 ෟ
Sinh_ruu2 ෲ
Sinh_luu2 ෳ
Sinh_kunddaliya ෴
